image_id,previous_split,split
0001_000_00,train,train
0001_000_01,validation,validation
0001_000_02,validation,validation
0001_000_03,train,final_test
0001_000_04,train,train
0001_000_05,train,train
0001_000_06,train,train
0001_002_00,test,train
0002_000_00,train,train
0002_000_01,train,train
0002_000_02,train,train
0002_000_03,train,train
0002_000_04,train,train
0002_000_05,train,train
0002_000_06,train,train
0002_002_00,train,final_test
0003_000_00,test,train
0003_000_01,train,train
0003_000_02,train,train
0003_000_03,train,train
0003_000_04,train,final_test
0003_000_05,train,train
0003_000_06,test,train
0003_002_00,validation,validation
0004_000_00,validation,validation
0004_000_01,train,train
0004_000_02,validation,validation
0004_000_03,train,train
0004_000_04,train,train
0004_000_05,train,final_test
0004_000_06,train,final_test
0004_002_01,validation,validation
0005_000_00,train,train
0005_000_01,validation,validation
0005_000_02,train,train
0005_000_03,train,train
0005_000_04,validation,validation
0005_000_05,train,train
0005_000_06,train,train
0005_002_01,test,train
0006_000_00,train,train
0006_000_01,train,final_test
0006_000_02,validation,validation
0006_000_03,train,train
0006_000_04,train,train
0006_000_05,train,train
0006_000_06,test,train
0006_002_01,validation,validation
0007_000_00,train,train
0007_000_01,train,train
0007_000_02,train,final_test
0007_000_03,train,final_test
0007_000_04,validation,validation
0007_000_05,train,train
0007_000_06,test,train
0008_000_00,train,final_test
0008_000_01,train,train
0008_000_02,train,train
0008_000_03,validation,validation
0008_000_04,train,final_test
0008_000_05,train,train
0008_000_06,train,final_test
0009_000_00,train,train
0009_000_01,validation,validation
0009_000_02,test,train
0009_000_03,test,train
0009_000_04,train,train
0009_000_05,test,train
0009_000_06,train,train
0010_000_00,validation,validation
0010_000_01,train,train
0010_000_02,train,train
0010_000_03,train,train
0010_000_04,train,train
0010_000_05,train,final_test
0010_000_06,train,train
0010_006_02,train,final_test
0011_000_00,train,train
0011_000_01,validation,validation
0011_000_02,train,train
0011_000_03,train,train
0011_000_04,validation,validation
0011_000_05,test,train
0011_000_06,train,train
0011_006_02,train,train
0012_000_00,train,train
0012_000_01,train,final_test
0012_000_02,test,train
0012_000_03,train,train
0012_000_04,train,train
0012_000_05,train,train
0012_000_06,train,final_test
0012_006_02,validation,validation
0013_000_00,train,final_test
0013_000_01,train,train
0013_000_02,train,train
0013_000_03,validation,validation
0013_000_04,test,train
0013_000_05,train,train
0013_000_06,test,train
0013_006_02,train,train
0014_000_00,test,train
0014_000_01,test,train
0014_000_02,train,train
0014_000_03,train,train
0014_000_04,train,train
0014_000_05,train,train
0014_000_06,train,train
0014_006_02,train,train
0015_000_00,train,train
0015_000_01,test,train
0015_000_02,test,train
0015_000_03,train,final_test
0015_000_04,test,train
0015_000_05,test,train
0015_000_06,train,train
0015_006_02,train,train
0016_000_00,train,train
0016_000_01,test,train
0016_000_02,validation,validation
0016_000_03,train,train
0016_000_04,train,train
0016_000_05,train,train
0016_000_06,train,train
0016_006_02,test,train
0017_000_00,train,final_test
0017_000_01,train,train
0017_000_02,train,train
0017_000_03,train,train
0017_000_04,validation,validation
0017_000_05,train,final_test
0017_000_06,train,train
0017_002_02,test,train
0018_000_00,train,train
0018_000_01,train,final_test
0018_000_02,validation,validation
0018_000_03,train,train
0018_000_04,validation,validation
0018_000_05,train,final_test
0018_000_06,test,train
0018_00_01,train,train
0018_010_03,test,train
0019_000_00,train,train
0019_000_01,train,train
0019_000_02,train,final_test
0019_000_03,test,train
0019_000_04,test,train
0019_000_05,train,train
0019_000_06,validation,validation
0019_016_03,train,train
0020_000_00,train,final_test
0020_000_01,validation,validation
0020_000_02,train,final_test
0020_000_03,train,train
0020_000_04,validation,validation
0020_000_05,train,train
0020_000_06,test,train
0020_016_03,train,train
0021_016_03,train,train
0022_019_02,train,train
0023_019_02,train,final_test
0024_019_02,train,final_test
0025_019_02,train,train
0026_019_02,validation,validation
0027_019_02,train,train
0028_019_02,train,train
0029_019_02,train,train
0030_019_02,test,train
0031_019_02,test,train
0032_019_02,test,train
0033_019_02,train,train
0034_019_02,train,train
0035_019_02,test,train
0036_019_02,train,train
0037_019_02,train,train
0038_019_02,train,train
0039_019_02,validation,validation
0040_019_02,train,final_test
0041_019_02,train,train
0042_019_02,train,train
0043_019_04,train,train
0044_019_04,train,train
0045_019_04,validation,validation
0046_019_04,validation,validation
0047_019_04,train,train
0048_019_04,test,train
0049_030_03,train,final_test
0050_019_03,train,train
0051_019_03,train,train
0052_019_03,train,final_test
0053_019_03,train,train
0054_019_03,validation,validation
0055_019_06,test,train
0056_019_06,train,train
0057_019_06,train,train
0058_019_06,train,final_test
0059_019_01,train,train
0060_022_06,validation,validation
0061_022_06,train,train
0062_022_00,validation,validation
0063_022_00,train,train
0064_022_00,train,train
0065_022_00,test,train
0066_023_01,test,train
0067_023_01,train,train
0068_023_02,train,train
0069_023_02,test,train
0070_023_02,train,final_test
0071_030_03,train,train
0072_010_03,train,train
0073_010_03,train,final_test
0074_010_03,validation,validation
0075_010_03,train,train
0076_030_03,train,train
0077_022_03,train,train
0078_025_03,train,train
0079_025_03,train,train
0080_036_01,validation,validation
0081_006_04,train,train
0082_030_04,validation,validation
0083_029_04,train,final_test
0084_030_04,train,train
0085_030_02,train,final_test
0086_030_02,train,train
0087_030_02,train,train
0088_030_02,train,train
0089_002_01,train,train
0090_002_01,train,train
0091_030_01,train,train
0092_030_01,train,final_test
0093_030_01,validation,validation
0094_027_05,train,train
0095_010_03,train,train
0096_030_03,train,train
0097_030_03,train,train
0098_019_02,train,train
0099_019_02,test,train
0100_025_08,train,train
0101_022_03,test,train
0102_010_03,train,final_test
0103_010_03,train,train
0104_022_03,train,train
0105_010_03,train,final_test
0106_010_03,validation,validation
0107_025_03,train,train
0108_025_03,train,train
0109_025_03,train,final_test
