condition,dice,iou,pixel_precision,pixel_recall,macro_defective_dice,image_accuracy,image_precision,image_recall,image_f1,image_roc_auc,dice_delta,image_f1_delta
original,0.22246361068868128,0.1251527743827915,0.12690792391786468,0.9004906044617236,0.22173034478398654,0.6578947368421053,0.5789473684210527,0.6875,0.6285714285714286,0.6917613636363635,0.0,0.0
brightness_0.85,0.1748215795114895,0.09578328208849761,0.09649460338226523,0.9285383689715819,0.17957544495098549,0.5789473684210527,0.5,0.625,0.5555555555555556,0.6235795454545453,-0.04764203117719179,-0.07301587301587298
brightness_1.15,0.2199557167758044,0.1235675532618764,0.12601039066189865,0.8643895214292326,0.23856309168674888,0.631578947368421,0.5555555555555556,0.625,0.5882352941176471,0.6761363636363636,-0.0025078939128768962,-0.04033613445378148
contrast_0.85,0.28287302672652137,0.16473623158295678,0.1684935630677693,0.8807738591132093,0.21401572228515808,0.6578947368421053,0.5882352941176471,0.625,0.6060606060606061,0.6363636363636364,0.060409416037840086,-0.02251082251082248
contrast_1.15,0.1397861708640007,0.07514521646628453,0.0757153983174356,0.9089141905026381,0.16570173505828834,0.5789473684210527,0.5,0.6875,0.5789473684210527,0.7045454545454546,-0.08267743982468059,-0.049624060150375904
blur,0.16150246503762425,0.08784480912612665,0.0893918383518225,0.8354160881236693,0.24616279023391122,0.5789473684210527,0.5,0.5625,0.5294117647058824,0.5866477272727273,-0.060961145651057036,-0.0991596638655462
noise,0.19219046641695314,0.10631123624845312,0.10807691419865655,0.8667962602980653,0.21526285361608374,0.5789473684210527,0.5,0.6875,0.5789473684210527,0.6818181818181819,-0.030273144271728142,-0.049624060150375904
resize,0.1676429950793048,0.09149035620739225,0.09183781869688386,0.9602888086642599,0.2230953422050415,0.5263157894736842,0.45454545454545453,0.625,0.5263157894736842,0.6619318181818181,-0.05482061560937648,-0.10225563909774438
rotation_-3.0,0.06033747355490343,0.031107201759208357,0.03118414207235885,0.9265129682997119,0.1072088914622917,0.5,0.44,0.6875,0.5365853658536586,0.6193181818181819,-0.16212613713377785,-0.09198606271776999
rotation_3.0,0.07769790366320864,0.04041919519896097,0.04056471476600564,0.9184815794830042,0.11942769231289195,0.47368421052631576,0.4230769230769231,0.6875,0.5238095238095238,0.6505681818181818,-0.14476570702547265,-0.10476190476190472
