image_component_threshold,accuracy,precision,recall,f1,roc_auc,confusion_matrix,true_positives,false_positives,false_negatives,true_negatives
0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604,0.793154761904762,"[[0, 21], [0, 16]]",16,21,0,0
9.5367431640625e-07,0.7567567567567568,0.6842105263157895,0.8125,0.742857142857143,0.793154761904762,"[[15, 6], [3, 13]]",13,6,3,15
1.811981201171875e-05,0.7837837837837838,0.7222222222222222,0.8125,0.7647058823529411,0.793154761904762,"[[16, 5], [3, 13]]",13,5,3,16
2.956390380859375e-05,0.8108108108108109,0.7647058823529411,0.8125,0.787878787878788,0.793154761904762,"[[17, 4], [3, 13]]",13,4,3,17
4.482269287109375e-05,0.8378378378378378,0.8125,0.8125,0.8125,0.793154761904762,"[[18, 3], [3, 13]]",13,3,3,18
5.626678466796875e-05,0.8108108108108109,0.8,0.75,0.7741935483870969,0.793154761904762,"[[18, 3], [4, 12]]",12,3,4,18
6.103515625e-05,0.7837837837837838,0.7857142857142857,0.6875,0.7333333333333334,0.793154761904762,"[[18, 3], [5, 11]]",11,3,5,18
0.000110626220703125,0.7567567567567568,0.7692307692307693,0.625,0.6896551724137931,0.793154761904762,"[[18, 3], [6, 10]]",10,3,6,18
0.00036144256591796875,0.7297297297297297,0.75,0.5625,0.6428571428571429,0.793154761904762,"[[18, 3], [7, 9]]",9,3,7,18
0.0004634857177734375,0.7027027027027027,0.7272727272727273,0.5,0.5925925925925926,0.793154761904762,"[[18, 3], [8, 8]]",8,3,8,18
0.0009412765502929688,0.6756756756756757,0.7,0.4375,0.5384615384615384,0.793154761904762,"[[18, 3], [9, 7]]",7,3,9,18
0.0010051727294921875,0.6486486486486487,0.6666666666666666,0.375,0.4800000000000001,0.793154761904762,"[[18, 3], [10, 6]]",6,3,10,18
0.0013599395751953125,0.6216216216216216,0.625,0.3125,0.4166666666666667,0.793154761904762,"[[18, 3], [11, 5]]",5,3,11,18
0.0013704299926757812,0.5945945945945946,0.5714285714285714,0.25,0.34782608695652173,0.793154761904762,"[[18, 3], [12, 4]]",4,3,12,18
0.0016984939575195312,0.6216216216216216,0.6666666666666666,0.25,0.36363636363636365,0.793154761904762,"[[19, 2], [12, 4]]",4,2,12,19
0.0018634796142578125,0.5945945945945946,0.6,0.1875,0.2857142857142857,0.793154761904762,"[[19, 2], [13, 3]]",3,2,13,19
0.0019521713256835938,0.6216216216216216,0.75,0.1875,0.3,0.793154761904762,"[[20, 1], [13, 3]]",3,1,13,20
0.002826690673828125,0.6486486486486487,1.0,0.1875,0.3157894736842105,0.793154761904762,"[[21, 0], [13, 3]]",3,0,13,21
0.04203033447265625,0.6216216216216216,1.0,0.125,0.2222222222222222,0.793154761904762,"[[21, 0], [14, 2]]",2,0,14,21
0.2334461212158203,0.5945945945945946,1.0,0.0625,0.11764705882352941,0.793154761904762,"[[21, 0], [15, 1]]",1,0,15,21
0.23344612121582034,0.5675675675675675,0.0,0.0,0.0,0.793154761904762,"[[21, 0], [16, 0]]",0,0,16,21
