segmentation_threshold,dice,iou,pixel_precision,pixel_recall,pixel_f1,true_positive_pixels,false_positive_pixels,false_negative_pixels,true_negative_pixels,macro_defective_dice
0.01,0.7619036640592837,0.6153831829898622,0.6328112177347879,0.9571634269258459,0.7619036640592837,231333,134231,10353,38421395,0.3692162520674866
0.02,0.7929193554321677,0.6568901249477449,0.6876551801685443,0.9362354459919069,0.7929193554321677,226275,102778,15411,38452848,0.3764977549642396
0.03,0.7929905218315437,0.6569878167277076,0.7031084518533924,0.9092210554190148,0.7929905218315437,219746,92789,21940,38462837,0.3802591504676718
0.04,0.7852960408439205,0.6464917109428936,0.7092982128318407,0.8795337752290162,0.7852960408439205,212571,87121,29115,38468505,0.38088112645502986
0.05,0.7756719893295555,0.6335491653946527,0.712035583102177,0.8517994422515164,0.7756719893295555,205868,83258,35818,38472368,0.3804837204742665
0.1,0.735425828703741,0.581560058236749,0.7150853274337666,0.7569573744445272,0.735425828703741,182946,72892,58740,38482734,0.37889652752593417
0.15,0.7091146605009119,0.549324280633689,0.7153334456045807,0.7030030700992197,0.7091146605009119,169906,67614,71780,38488012,0.37595200777643756
0.2,0.6903119446763868,0.5270811945412577,0.7152770382990806,0.6670307754689969,0.6903119446763868,161212,64172,80474,38491454,0.3771853581583288
0.25,0.6747834445694562,0.509187303617882,0.71481932339423,0.6389943976895641,0.6747834445694562,154436,61613,87250,38494013,0.3766856955031693
0.3,0.6607483492296405,0.4933713158759724,0.7140612386114635,0.6148432263349967,0.6607483492296405,148599,59505,93087,38496121,0.37705151118516167
0.35,0.6480588935117356,0.47935438193391533,0.7131004605456,0.5938904198008987,0.6480588935117356,143535,57748,98151,38497878,0.3762679454246044
0.4,0.6360428882483178,0.46632176537535713,0.7120265331125658,0.5747126436781609,0.6360428882483178,138900,56177,102786,38499449,0.37364481034877184
0.45,0.6244077727147165,0.45391923589665706,0.7112208690502002,0.5564823779614873,0.6244077727147165,134494,54609,107192,38501017,0.3686891530030295
0.5,0.6127284065371628,0.44167876674220735,0.7103820067769235,0.538678285047541,0.6127284065371628,130191,53078,111495,38502548,0.36986092674921245
0.55,0.600321211152184,0.4288992702721135,0.7092014231504401,0.5204231937307084,0.600321211152184,125779,51574,115907,38504052,0.37278486290508844
0.6,0.5860096276266809,0.41443678760208963,0.7079317274959132,0.4999131103994439,0.5860096276266809,120822,49847,120864,38505779,0.36941370597958745
0.65,0.5684337456572556,0.39707121059390493,0.7056044953745737,0.4759150302458562,0.5684337456572556,115022,47990,126664,38507636,0.3668538001956362
0.7,0.5440573070254262,0.37368044061808925,0.7006761029867191,0.4446637372458479,0.5440573070254262,107469,45910,134217,38509716,0.3642058751602548
0.75,0.5086435126565721,0.3410609850650968,0.6915968299588805,0.40223678657431544,0.5086435126565721,97215,43351,144471,38512275,0.359852144935662
0.8,0.458001477953855,0.2970181043663472,0.6764820025225575,0.34619299421563515,0.458001477953855,83670,40014,158016,38515612,0.35343252934629243
0.85,0.38576279478831155,0.2389752841421613,0.651274386406545,0.27404152495386574,0.38576279478831155,66232,35464,175454,38520162,0.3431492054949738
0.9,0.28060934347846805,0.1632027849018115,0.6043186141025466,0.18272882996946452,0.28060934347846805,44163,28916,197523,38526710,0.33033463899855214
0.95,0.13404377056215133,0.0718365031544895,0.49380829425093536,0.07754689969630016,0.13404377056215133,18742,19212,222944,38536414,0.302954584739595
