image_component_threshold,accuracy,precision,recall,f1,roc_auc,confusion_matrix,true_positives,false_positives,false_negatives,true_negatives
0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604,0.6607142857142857,"[[0, 21], [0, 16]]",16,21,0,0
0.00018978118896484375,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604,0.6607142857142857,"[[0, 21], [0, 16]]",16,21,0,0
0.00021266937255859375,0.40540540540540543,0.4166666666666667,0.9375,0.5769230769230769,0.6607142857142857,"[[0, 21], [1, 15]]",15,21,1,0
0.00023746490478515625,0.43243243243243246,0.42857142857142855,0.9375,0.588235294117647,0.6607142857142857,"[[1, 20], [1, 15]]",15,20,1,1
0.000308990478515625,0.4594594594594595,0.4411764705882353,0.9375,0.6,0.6607142857142857,"[[2, 19], [1, 15]]",15,19,1,2
0.000415802001953125,0.4864864864864865,0.45454545454545453,0.9375,0.6122448979591837,0.6607142857142857,"[[3, 18], [1, 15]]",15,18,1,3
0.00042438507080078125,0.4594594594594595,0.4375,0.875,0.5833333333333334,0.6607142857142857,"[[3, 18], [2, 14]]",14,18,2,3
0.0007076263427734375,0.43243243243243246,0.41935483870967744,0.8125,0.5531914893617021,0.6607142857142857,"[[3, 18], [3, 13]]",13,18,3,3
0.0010271072387695312,0.4594594594594595,0.43333333333333335,0.8125,0.5652173913043479,0.6607142857142857,"[[4, 17], [3, 13]]",13,17,3,4
0.0018014907836914062,0.4864864864864865,0.4482758620689655,0.8125,0.5777777777777777,0.6607142857142857,"[[5, 16], [3, 13]]",13,16,3,5
0.0019712448120117188,0.5135135135135135,0.4642857142857143,0.8125,0.5909090909090908,0.6607142857142857,"[[6, 15], [3, 13]]",13,15,3,6
0.0020656585693359375,0.4864864864864865,0.4444444444444444,0.75,0.5581395348837209,0.6607142857142857,"[[6, 15], [4, 12]]",12,15,4,6
0.0022287368774414062,0.5135135135135135,0.46153846153846156,0.75,0.5714285714285714,0.6607142857142857,"[[7, 14], [4, 12]]",12,14,4,7
0.002899169921875,0.5405405405405406,0.48,0.75,0.5853658536585366,0.6607142857142857,"[[8, 13], [4, 12]]",12,13,4,8
0.0030031204223632812,0.5675675675675675,0.5,0.75,0.6,0.6607142857142857,"[[9, 12], [4, 12]]",12,12,4,9
0.0030260086059570312,0.5405405405405406,0.4782608695652174,0.6875,0.5641025641025642,0.6607142857142857,"[[9, 12], [5, 11]]",11,12,5,9
0.0030317306518554688,0.5675675675675675,0.5,0.6875,0.5789473684210527,0.6607142857142857,"[[10, 11], [5, 11]]",11,11,5,10
0.0034875869750976562,0.5945945945945946,0.5238095238095238,0.6875,0.5945945945945946,0.6607142857142857,"[[11, 10], [5, 11]]",11,10,5,11
0.0037670135498046875,0.5675675675675675,0.5,0.625,0.5555555555555556,0.6607142857142857,"[[11, 10], [6, 10]]",10,10,6,11
0.0038061141967773438,0.5945945945945946,0.5263157894736842,0.625,0.5714285714285714,0.6607142857142857,"[[12, 9], [6, 10]]",10,9,6,12
0.0038671493530273438,0.6216216216216216,0.5555555555555556,0.625,0.5882352941176471,0.6607142857142857,"[[13, 8], [6, 10]]",10,8,6,13
0.003939628601074219,0.6486486486486487,0.5882352941176471,0.625,0.6060606060606061,0.6607142857142857,"[[14, 7], [6, 10]]",10,7,6,14
0.004047393798828125,0.6756756756756757,0.625,0.625,0.625,0.6607142857142857,"[[15, 6], [6, 10]]",10,6,6,15
0.004057884216308594,0.7027027027027027,0.6666666666666666,0.625,0.6451612903225806,0.6607142857142857,"[[16, 5], [6, 10]]",10,5,6,16
0.0041790008544921875,0.7297297297297297,0.7142857142857143,0.625,0.6666666666666666,0.6607142857142857,"[[17, 4], [6, 10]]",10,4,6,17
0.004206657409667969,0.7027027027027027,0.6923076923076923,0.5625,0.6206896551724138,0.6607142857142857,"[[17, 4], [7, 9]]",9,4,7,17
0.004240989685058594,0.6756756756756757,0.6666666666666666,0.5,0.5714285714285715,0.6607142857142857,"[[17, 4], [8, 8]]",8,4,8,17
0.004363059997558594,0.6486486486486487,0.6363636363636364,0.4375,0.5185185185185185,0.6607142857142857,"[[17, 4], [9, 7]]",7,4,9,17
0.00438690185546875,0.6216216216216216,0.6,0.375,0.4615384615384615,0.6607142857142857,"[[17, 4], [10, 6]]",6,4,10,17
0.004719734191894531,0.6486486486486487,0.6666666666666666,0.375,0.4800000000000001,0.6607142857142857,"[[18, 3], [10, 6]]",6,3,10,18
0.005259513854980469,0.6756756756756757,0.75,0.375,0.5,0.6607142857142857,"[[19, 2], [10, 6]]",6,2,10,19
0.005401611328125,0.7027027027027027,0.8571428571428571,0.375,0.5217391304347825,0.6607142857142857,"[[20, 1], [10, 6]]",6,1,10,20
0.0060825347900390625,0.6756756756756757,0.8333333333333334,0.3125,0.45454545454545453,0.6607142857142857,"[[20, 1], [11, 5]]",5,1,11,20
0.006581306457519531,0.6486486486486487,0.8,0.25,0.38095238095238093,0.6607142857142857,"[[20, 1], [12, 4]]",4,1,12,20
0.006840705871582031,0.6216216216216216,0.75,0.1875,0.3,0.6607142857142857,"[[20, 1], [13, 3]]",3,1,13,20
0.007320404052734375,0.5945945945945946,0.6666666666666666,0.125,0.21052631578947367,0.6607142857142857,"[[20, 1], [14, 2]]",2,1,14,20
