segmentation_threshold,dice,iou,pixel_precision,pixel_recall,pixel_f1,true_positive_pixels,false_positive_pixels,false_negative_pixels,true_negative_pixels,macro_defective_dice
0.05,0.01588164241882635,0.008004382580375679,0.008004382845473399,0.9999958623999735,0.01588164241882635,241685,29952398,1,8603228,0.0243647730695049
0.1,0.1271732890099123,0.06790446134905932,0.06804662548556122,0.9701513534089686,0.1271732890099123,234472,3211283,7214,35344343,0.05064285748756936
0.15,0.20405094779623226,0.11361733649729432,0.11450604614720399,0.9360575291907682,0.20405094779623226,226232,1749489,15454,36806137,0.05719216130685975
0.2,0.27921987947042914,0.1622635432262543,0.16481219922634463,0.9129904090431387,0.27921987947042914,220657,1118182,21029,37437444,0.06544621842575847
0.25,0.3637341005451242,0.22229522760714054,0.22828008286925286,0.8945036121248231,0.3637341005451242,216189,730845,25497,37824781,0.08141554975579188
0.3,0.40478957959853795,0.2537530939000923,0.263134563542964,0.8768070968115654,0.40478957959853795,211912,593425,29774,37962201,0.08787581542274564
0.35,0.4237629864233079,0.26884471229471585,0.2812347638601471,0.8592016086988903,0.4237629864233079,207657,530719,34029,38024907,0.09160871105122353
0.4,0.43484930922280896,0.2778322316088812,0.29296183214885346,0.8432552981968339,0.43484930922280896,203803,491861,37883,38063765,0.09407647251504485
0.45,0.4427564151576904,0.2843205902193683,0.3023532456447021,0.8266055956902758,0.4427564151576904,199779,460968,41907,38094658,0.09546531734284158
0.5,0.44931261618966745,0.2897506105231999,0.3108772910466959,0.810017957184115,0.44931261618966745,195770,433964,45916,38121662,0.09694801977342553
0.55,0.4544854285917868,0.29406738506365376,0.3187213303707356,0.7917380402671235,0.4544854285917868,191352,409022,50334,38146604,0.0977840479543326
0.6,0.4590077211147144,0.2978650363172156,0.32661997723890396,0.7718651473399369,0.4590077211147144,186549,384601,55137,38171025,0.09882605576853247
0.65,0.46278020935612174,0.3010501244992963,0.3350541549036,0.7478794799864287,0.46278020935612174,180752,358719,60934,38196907,0.10081449921849989
0.7,0.46516317610147223,0.30307011719978477,0.34408312075757636,0.7177246509934377,0.46516317610147223,173464,330670,68222,38224956,0.10358902732270814
0.75,0.46560240654964363,0.3034431287803683,0.35501023027901946,0.6762741739281547,0.46560240654964363,163446,296952,78240,38258674,0.10849833176735545
0.8,0.4612472505344032,0.2997539732712696,0.3686264217839334,0.6160307175425966,0.4612472505344032,148886,255008,92800,38300618,0.11653574976850961
0.85,0.44287856493171274,0.28442133988881246,0.384695869684583,0.5217968769395,0.44287856493171274,126111,201709,115575,38353917,0.12442084858790971
0.9,0.36767560975084196,0.22524665559565643,0.3836202826476976,0.3530034838592223,0.36767560975084196,85316,137081,156370,38418545,0.12441576921879052
0.95,0.1316362128045515,0.07045534371127325,0.2613093116712342,0.08797778936305785,0.1316362128045515,21263,60108,220423,38495518,0.06845991118492824
