image_component_threshold,accuracy,precision,recall,f1,roc_auc,confusion_matrix,true_positives,false_positives,false_negatives,true_negatives
0.0,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604,0.8244047619047619,"[[0, 21], [0, 16]]",16,21,0,0
9.5367431640625e-07,0.43243243243243246,0.43243243243243246,1.0,0.6037735849056604,0.8244047619047619,"[[0, 21], [0, 16]]",16,21,0,0
3.814697265625e-06,0.4594594594594595,0.4444444444444444,1.0,0.6153846153846153,0.8244047619047619,"[[1, 20], [0, 16]]",16,20,0,1
7.534027099609375e-05,0.43243243243243246,0.42857142857142855,0.9375,0.588235294117647,0.8244047619047619,"[[1, 20], [1, 15]]",15,20,1,1
0.000102996826171875,0.4594594594594595,0.4411764705882353,0.9375,0.6,0.8244047619047619,"[[2, 19], [1, 15]]",15,19,1,2
0.000125885009765625,0.4864864864864865,0.45454545454545453,0.9375,0.6122448979591837,0.8244047619047619,"[[3, 18], [1, 15]]",15,18,1,3
0.00014209747314453125,0.5135135135135135,0.46875,0.9375,0.625,0.8244047619047619,"[[4, 17], [1, 15]]",15,17,1,4
0.00015163421630859375,0.5405405405405406,0.4838709677419355,0.9375,0.6382978723404255,0.8244047619047619,"[[5, 16], [1, 15]]",15,16,1,5
0.0001811981201171875,0.5675675675675675,0.5,0.9375,0.6521739130434783,0.8244047619047619,"[[6, 15], [1, 15]]",15,15,1,6
0.00018405914306640625,0.5945945945945946,0.5172413793103449,0.9375,0.6666666666666667,0.8244047619047619,"[[7, 14], [1, 15]]",15,14,1,7
0.0001983642578125,0.6216216216216216,0.5357142857142857,0.9375,0.6818181818181818,0.8244047619047619,"[[8, 13], [1, 15]]",15,13,1,8
0.00020122528076171875,0.6486486486486487,0.5555555555555556,0.9375,0.6976744186046512,0.8244047619047619,"[[9, 12], [1, 15]]",15,12,1,9
0.0002117156982421875,0.6756756756756757,0.5769230769230769,0.9375,0.7142857142857143,0.8244047619047619,"[[10, 11], [1, 15]]",15,11,1,10
0.000247955322265625,0.6486486486486487,0.56,0.875,0.6829268292682927,0.8244047619047619,"[[10, 11], [2, 14]]",14,11,2,10
0.000316619873046875,0.6756756756756757,0.5833333333333334,0.875,0.7000000000000001,0.8244047619047619,"[[11, 10], [2, 14]]",14,10,2,11
0.00031757354736328125,0.7027027027027027,0.6086956521739131,0.875,0.717948717948718,0.8244047619047619,"[[12, 9], [2, 14]]",14,9,2,12
0.0003261566162109375,0.7297297297297297,0.6363636363636364,0.875,0.7368421052631579,0.8244047619047619,"[[13, 8], [2, 14]]",14,8,2,13
0.00034332275390625,0.7567567567567568,0.6666666666666666,0.875,0.7567567567567567,0.8244047619047619,"[[14, 7], [2, 14]]",14,7,2,14
0.00034427642822265625,0.7837837837837838,0.7,0.875,0.7777777777777777,0.8244047619047619,"[[15, 6], [2, 14]]",14,6,2,15
0.00037479400634765625,0.8108108108108109,0.7368421052631579,0.875,0.7999999999999999,0.8244047619047619,"[[16, 5], [2, 14]]",14,5,2,16
0.0004119873046875,0.7837837837837838,0.7222222222222222,0.8125,0.7647058823529411,0.8244047619047619,"[[16, 5], [3, 13]]",13,5,3,16
0.000415802001953125,0.7567567567567568,0.7058823529411765,0.75,0.7272727272727272,0.8244047619047619,"[[16, 5], [4, 12]]",12,5,4,16
0.000530242919921875,0.7837837837837838,0.75,0.75,0.75,0.8244047619047619,"[[17, 4], [4, 12]]",12,4,4,17
0.0005702972412109375,0.7567567567567568,0.7333333333333333,0.6875,0.7096774193548386,0.8244047619047619,"[[17, 4], [5, 11]]",11,4,5,17
0.0005865097045898438,0.7297297297297297,0.7142857142857143,0.625,0.6666666666666666,0.8244047619047619,"[[17, 4], [6, 10]]",10,4,6,17
0.0008878707885742188,0.7567567567567568,0.7692307692307693,0.625,0.6896551724137931,0.8244047619047619,"[[18, 3], [6, 10]]",10,3,6,18
0.0010776519775390625,0.7297297297297297,0.75,0.5625,0.6428571428571429,0.8244047619047619,"[[18, 3], [7, 9]]",9,3,7,18
0.0011692047119140625,0.7027027027027027,0.7272727272727273,0.5,0.5925925925925926,0.8244047619047619,"[[18, 3], [8, 8]]",8,3,8,18
0.0012865066528320312,0.7297297297297297,0.8,0.5,0.6153846153846154,0.8244047619047619,"[[19, 2], [8, 8]]",8,2,8,19
0.001392364501953125,0.7027027027027027,0.7777777777777778,0.4375,0.56,0.8244047619047619,"[[19, 2], [9, 7]]",7,2,9,19
0.0020875930786132812,0.7297297297297297,0.875,0.4375,0.5833333333333334,0.8244047619047619,"[[20, 1], [9, 7]]",7,1,9,20
0.0023584365844726562,0.7027027027027027,0.8571428571428571,0.375,0.5217391304347825,0.8244047619047619,"[[20, 1], [10, 6]]",6,1,10,20
0.0027484893798828125,0.6756756756756757,0.8333333333333334,0.3125,0.45454545454545453,0.8244047619047619,"[[20, 1], [11, 5]]",5,1,11,20
0.0029458999633789062,0.7027027027027027,1.0,0.3125,0.47619047619047616,0.8244047619047619,"[[21, 0], [11, 5]]",5,0,11,21
0.0029592514038085938,0.6756756756756757,1.0,0.25,0.4,0.8244047619047619,"[[21, 0], [12, 4]]",4,0,12,21
0.00296783447265625,0.6486486486486487,1.0,0.1875,0.3157894736842105,0.8244047619047619,"[[21, 0], [13, 3]]",3,0,13,21
0.03157234191894531,0.6216216216216216,1.0,0.125,0.2222222222222222,0.8244047619047619,"[[21, 0], [14, 2]]",2,0,14,21
