segmentation_threshold,dice,iou,pixel_precision,pixel_recall,pixel_f1,true_positive_pixels,false_positive_pixels,false_negative_pixels,true_negative_pixels,macro_defective_dice
0.05,0.5959333383025244,0.4244337926107143,0.4769813215604974,0.7939268306811317,0.5959333383025244,191881,210401,49805,38345225,0.17111610130487562
0.1,0.6025246372488726,0.4311522430439975,0.5063212353516038,0.7438618703607159,0.6025246372488726,179781,175292,61905,38380334,0.18379144069114076
0.15,0.602020907749142,0.4306365603650339,0.5209126164876718,0.7130450253634881,0.602020907749142,172333,158496,69353,38397130,0.18843600267393443
0.2,0.6001425568067276,0.4287169095145272,0.5311231609330895,0.6897793004145876,0.6001425568067276,166710,147172,74976,38408454,0.18993696504540758
0.25,0.5972580811731901,0.42577902118495886,0.5387607215815705,0.6700057098880365,0.5972580811731901,161931,138631,79755,38416995,0.19608913174518436
0.3,0.5933545853963661,0.4218224289051283,0.544709878721211,0.6515396009698534,0.5933545853963661,157468,131618,84218,38424008,0.20144492066886643
0.35,0.5888517884158098,0.4172855718356827,0.5499114974346823,0.6337272328558543,0.5888517884158098,153163,125360,88523,38430266,0.206843569090015
0.4,0.5842545683136945,0.4126833505779243,0.5546400645470736,0.6172099335501435,0.5842545683136945,149171,119780,92515,38435846,0.21143458684488803
0.45,0.5791304209094644,0.40758872554661335,0.5589908836120607,0.6007753862449625,0.5791304209094644,145199,114553,96487,38441073,0.21647333909119992
0.5,0.5737541865421699,0.4022828190823181,0.5631484993863661,0.5847670117425089,0.5737541865421699,141330,109634,100356,38445992,0.2210290367813297
0.55,0.567390405293631,0.3960537521109684,0.5671230271914812,0.5676580356330114,0.567390405293631,137195,104719,104491,38450907,0.2252935368848542
0.6,0.5605718236469567,0.38944063542456825,0.5713628902658061,0.5501808131211572,0.5605718236469567,132971,99755,108715,38455871,0.23139993164911885
0.65,0.5520011204119669,0.38121653835050995,0.575896128652289,0.5300100129920641,0.5520011204119669,128096,94333,113590,38461293,0.23600464979493513
0.7,0.542105797184565,0.37184165774009453,0.5805397029366189,0.508444841654047,0.542105797184565,122884,88788,118802,38466838,0.24260792950100937
0.75,0.5288849295132915,0.35951295729593297,0.5848662144479372,0.4826841438891785,0.5288849295132915,116658,82803,125028,38472823,0.25122889800086207
0.8,0.5094318363207857,0.34177023817772934,0.5887108150045031,0.44897097887341425,0.5094318363207857,108510,75808,133176,38479818,0.25652339632948495
0.85,0.47680123871374963,0.31302627787795695,0.5899533850734612,0.40006868416043956,0.47680123871374963,96691,67205,144995,38488421,0.27115646544852184
0.9,0.4013765846182801,0.25107638281554834,0.5730792558868014,0.30884287877659444,0.4013765846182801,74643,55606,167043,38500020,0.26411446044571074
0.95,0.22027751144005156,0.12377070743107133,0.48955913166184417,0.14211001050950406,0.22027751144005156,34346,35811,207340,38519815,0.22280870515227152
